,Type,Name,Docstring,Depth
0,M,mngs, (v1.9.2),0
1,M,ai,,0
2,M,ai.mngs.ai,,1
3,C,ai.AdaBoostClassifier,,1
4,C,ai.ClassificationReporter,,1
5,C,ai.ClassifierServer,,1
6,C,ai.EarlyStopping,,1
7,C,ai.GaussianProcessClassifier,,1
8,F,ai.GenAI,,1
9,C,ai.KNeighborsClassifier,,1
10,C,ai.LearningCurveLogger,,1
11,C,ai.LinearSVC,,1
12,C,ai.LogisticRegression,,1
13,C,ai.MultiClassificationReporter,,1
14,C,ai.PassiveAggressiveClassifier,,1
15,C,ai.Perceptron,,1
16,C,ai.QuadraticDiscriminantAnalysis,,1
17,C,ai.RidgeClassifier,,1
18,C,ai.SGDClassifier,,1
19,C,ai.SVC,,1
20,C,ai.StandardScaler,,1
21,F,ai.balanced_accuracy_score,,1
22,F,ai.check_random_state,,1
23,F,ai.classification_report,,1
24,F,ai.confusion_matrix,,1
25,F,ai.distance_metrics,,1
26,F,ai.fix_seeds,,1
27,F,ai.make_pipeline,,1
28,F,ai.matthews_corrcoef,,1
29,F,ai.pairwise_distances,,1
30,F,ai.silhouette_samples_block,,1
31,F,ai.silhouette_samples_slow,,1
32,F,ai.silhouette_score_block,,1
33,F,ai.silhouette_score_slow,,1
34,M,ai.silhoute_score_block,,1
35,M,ai.silhoute_score_block.mngs.ai.silhoute_score_block,,2
36,F,ai.silhoute_score_block.check_random_state,,2
37,F,ai.silhoute_score_block.distance_metrics,,2
38,F,ai.silhoute_score_block.pairwise_distances,,2
39,F,ai.silhoute_score_block.silhouette_samples_block,,2
40,F,ai.silhoute_score_block.silhouette_samples_slow,,2
41,F,ai.silhoute_score_block.silhouette_score_block,,2
42,F,ai.silhoute_score_block.silhouette_score_slow,,2
43,M,db,,0
44,M,db.mngs.db,,1
45,C,db.BaseSQLiteDB,,1
46,C,db.Inspector,,1
47,F,db.delete_duplicates,,1
48,F,db.inspect,,1
49,M,decorators,,0
50,M,decorators.mngs.decorators,,1
51,C,decorators.ConversionWarning,,1
52,F,decorators.batch_fn,,1
53,F,decorators.deprecated,,1
54,F,decorators.is_cuda,,1
55,F,decorators.is_torch,,1
56,F,decorators.lru_cache,,1
57,F,decorators.not_implemented,,1
58,F,decorators.numpy_fn,,1
59,F,decorators.pandas_fn,,1
60,F,decorators.squeeze_if,,1
61,F,decorators.to_numpy,,1
62,F,decorators.to_torch,,1
63,F,decorators.torch_fn,,1
64,F,decorators.unsqueeze_if,,1
65,F,decorators.wrap,,1
66,F,decorators.wraps,,1
67,M,dict,,0
68,M,dict.mngs.dict,,1
69,C,dict.DotDict,,1
70,C,dict.defaultdict,,1
71,F,dict.listed_dict,,1
72,F,dict.pop_keys,,1
73,F,dict.replace,,1
74,F,dict.safe_merge,,1
75,F,dict.search,,1
76,F,dict.to_str,,1
77,M,dsp,,0
78,M,dsp.mngs.dsp,,1
79,M,dsp.PARAMS,,1
80,M,dsp.PARAMS.mngs.dsp.PARAMS,,2
81,M,dsp.add_noise,,1
82,M,dsp.add_noise.mngs.dsp.add_noise,,2
83,F,dsp.add_noise.brown,,2
84,F,dsp.add_noise.gauss,,2
85,F,dsp.add_noise.pink,,2
86,F,dsp.add_noise.torch_fn,,2
87,F,dsp.add_noise.white,,2
88,F,dsp.crop,,1
89,F,dsp.demo_sig,,1
90,F,dsp.detect_ripples,,1
91,F,dsp.ensure_3d,,1
92,M,dsp.filt,,1
93,M,dsp.filt.mngs.dsp.filt,,2
94,C,dsp.filt.BandPassFilter,,2
95,C,dsp.filt.BandStopFilter,,2
96,C,dsp.filt.GaussianFilter,,2
97,C,dsp.filt.HighPassFilter,,2
98,C,dsp.filt.LowPassFilter,,2
99,F,dsp.filt.bandpass,,2
100,F,dsp.filt.bandstop,,2
101,F,dsp.filt.gauss,,2
102,F,dsp.filt.highpass,,2
103,F,dsp.filt.lowpass,,2
104,M,dsp.filt.mngs,,2
105,F,dsp.filt.torch_fn,,2
106,F,dsp.get_eeg_pos,,1
107,F,dsp.hilbert,,1
108,F,dsp.modulation_index,,1
109,M,dsp.norm,,1
110,M,dsp.norm.mngs.dsp.norm,,2
111,F,dsp.norm.minmax,,2
112,F,dsp.norm.z,,2
113,F,dsp.pac,,1
114,F,dsp.psd,,1
115,M,dsp.reference,,1
116,M,dsp.reference.mngs.dsp.reference,,2
117,F,dsp.reference.common_average,,2
118,F,dsp.reference.random,,2
119,F,dsp.reference.take_reference,,2
120,F,dsp.resample,,1
121,F,dsp.time,,1
122,F,dsp.to_segments,,1
123,F,dsp.to_sktime_df,,1
124,M,dsp.utils,,1
125,M,dsp.utils.mngs.dsp.utils,,2
126,F,dsp.utils.build_bandpass_filters,,2
127,F,dsp.utils.design_filter,,2
128,F,dsp.utils.ensure_even_len,,2
129,M,dsp.utils.filter,,2
130,M,dsp.utils.filter.mngs.dsp.utils.filter,,3
131,F,dsp.utils.filter.design_filter,,3
132,F,dsp.utils.filter.firwin,,3
133,F,dsp.utils.filter.freqz,,3
134,F,dsp.utils.filter.numpy_fn,,3
135,F,dsp.utils.filter.plot_filter_responses,,3
136,F,dsp.utils.filter.to_even,,3
137,F,dsp.utils.init_bandpass_filters,,2
138,M,dsp.utils.pac,,2
139,M,dsp.utils.pac.mngs.dsp.utils.pac,,3
140,F,dsp.utils.pac.calc_pac_with_tensorpac,,3
141,F,dsp.utils.pac.plot_PAC_mngs_vs_tensorpac,,3
142,F,dsp.utils.plot_filter_responses,,2
143,F,dsp.utils.zero_pad,,2
144,F,dsp.wavelet,,1
145,M,gen,,0
146,M,gen.mngs.gen,,1
147,C,gen.Any,,1
148,C,gen.DimHandler,,1
149,C,gen.DotDict,,1
150,C,gen.Process,,1
151,C,gen.Tee,,1
152,C,gen.ThreadWithReturnValue,,1
153,C,gen.TimeStamper,,1
154,C,gen.XmlDictConfig,,1
155,C,gen.XmlListConfig,,1
156,F,gen.alternate_kwarg,,1
157,F,gen.cache,,1
158,F,gen.check_host,,1
159,F,gen.ci,,1
160,F,gen.clear_python_log_dir,,1
161,F,gen.close,,1
162,F,gen.color_text,,1
163,F,gen.contextmanager,,1
164,F,gen.copy_files,,1
165,F,gen.copy_the_file,,1
166,C,gen.datetime,,1
167,F,gen.describe,,1
168,F,gen.dir2npy,,1
169,F,gen.embed,,1
170,F,gen.find_closest,,1
171,F,gen.fix_seeds,,1
172,F,gen.float_linspace,,1
173,F,gen.gen_ID,,1
174,F,gen.get_spath,,1
175,F,gen.glob,,1
176,F,gen.inspect_module,,1
177,F,gen.is_defined_global,,1
178,F,gen.is_defined_local,,1
179,F,gen.is_host,,1
180,F,gen.is_ipython,,1
181,F,gen.is_later_or_equal,,1
182,F,gen.is_nan,,1
183,F,gen.is_script,,1
184,F,gen.isclose,,1
185,F,gen.keys2npa,,1
186,F,gen.less,,1
187,F,gen.list_packages,,1
188,F,gen.load,,1
189,F,gen.loadmat,,1
190,F,gen.lru_cache,,1
191,F,gen.main,,1
192,F,gen.mat2dict,,1
193,F,gen.mat2npa,,1
194,F,gen.mat2npy,,1
195,M,gen.misc,,1
196,M,gen.misc.mngs.gen.misc,,2
197,C,gen.misc.ThreadWithReturnValue,,2
198,F,gen.misc.copy_files,,2
199,F,gen.misc.copy_the_file,,2
200,F,gen.misc.describe,,2
201,F,gen.misc.find_closest,,2
202,F,gen.misc.float_linspace,,2
203,F,gen.misc.is_defined_global,,2
204,F,gen.misc.is_defined_local,,2
205,F,gen.misc.is_later_or_equal,,2
206,F,gen.misc.is_nan,,2
207,F,gen.misc.isclose,,2
208,F,gen.misc.partial_at,,2
209,F,gen.misc.replace,,2
210,F,gen.misc.unique,,2
211,F,gen.misc.uq,,2
212,F,gen.misc.wait_key,,2
213,F,gen.misc.wraps,,2
214,F,gen.mngs_gen_notify,,1
215,F,gen.mngs_io_flush,,1
216,F,gen.mngs_io_save,,1
217,F,gen.nanstd,,1
218,F,gen.numpy_fn,,1
219,F,gen.partial_at,,1
220,F,gen.paste,,1
221,M,gen.path,,1
222,M,gen.path.mngs.gen.path,,2
223,F,gen.pprint,,1
224,F,gen.print_config,,1
225,F,gen.print_config_main,,1
226,F,gen.printc,,1
227,F,gen.public_keys,,1
228,F,gen.quiet,,1
229,C,gen.redirect_stderr,,1
230,C,gen.redirect_stdout,,1
231,F,gen.replace,,1
232,F,gen.run_shellcommand,,1
233,F,gen.run_shellscript,,1
234,F,gen.running2finished,,1
235,F,gen.save_npa,,1
236,F,gen.sh,,1
